soundname	intervalname	F0_Max	F0_Average	First_Formant	Second_Formant	Intensity_Max	Intensity_Average	Duration
renamed6716	vot	255.91644085875367	232.91986324419196	963.1266392253524	1623.776002675719	72.3586740075877	69.76056279596317	0.14572908289383385

renamed6717	vowel	284.0022573479248	224.65260761045397	560.670431117706	2618.3452257273375	76.97541825844908	71.49865093776624	0.13801914334922272

renamed6718	vowel	270.6926199152835	201.18619178006227	476.6369760858295	2813.608802196755	77.7664823275376	72.53537169622574	0.1165592005301781

renamed6719	vowel	239.26754814621626	196.4387274232199	1044.1280917298977	1909.242435701318	77.2326881476644	75.1635012172381	0.15884889775989608

renamed6720	vowel	266.320685221626	210.76623882641601	984.5594569760461	2034.2644764160661	79.86633572463416	75.31074525828343	0.13402726716668256

renamed6721	vot	231.41120195885168	222.3924237340691	1156.846019267195	2271.3507366065546	70.01963312292546	66.30151673934604	0.08427172329773469


renamed6724	vowel	237.48841517468443	226.3621017732294	910.7764697610143	2312.1073534120783	67.48958295423502	63.43005806115358	0.11953860743687328

renamed6725	vot	254.38365446466184	254.28714162382565	718.6909546102639	2077.5774729382542	62.13424709573664	61.967492278279906	0.013301712409101607

renamed6727	vowel	251.8138099086954	243.37081154597843	918.2571883563498	2303.0742288512774	65.28549730654879	61.05536382818343	0.11573651265291118

