soundname	intervalname	F0_Max	F0_Average	First_Formant	Second_Formant	Intensity_Max	Intensity_Average	Duration
renamed6716_H	vot	255.91644085875367	255.91644085875367	1282.6056215811504	2282.4918841826266	72.3586740075877	71.24447706598042	0.05224322581033214

renamed6717_H	vowel 	276.1093509411907	219.60964914629858	621.4364575606204	2583.6852508022553	76.97541825844908	73.76132001720396	0.08711024287898994

renamed6718_H	vowel	267.9601055240774	200.21808557771195	481.1874109153127	2818.822965447779	77.7664823275376	72.49851015509616	0.11498284701721362

renamed6719_H	vowel	235.0241927874525	194.58335161223064	1056.7526027564775	1868.440212742238	77.2326881476644	75.70704684317371	0.1395887188080296

renamed6720_H	 	266.320685221626	216.61181002247417	750.0156808335012	2258.880852973933	79.34898404482904	71.96712273223034	0.5946462961916068
renamed6720_H	vowel	262.7153658554276	206.56695301977592	1004.2632411343222	2083.4046480278903	79.86633572463416	76.2925651732364	0.10666617633419173

renamed6721_H	 	241.20530809511	211.9615978841935	897.6017443982761	1964.5114691169963	75.06230389831221	71.08472606086346	0.48174729150919626
renamed6721_H	vot	238.9046224446523	229.72929902395143	1211.4566877929385	2260.809005146227	71.38872600803505	67.16238981652779	0.10894486569556605


renamed6724_H	vowel	237.48841517468443	225.90724249932813	914.4328107547544	2312.160303714969	67.48958295423502	63.474035999009566	0.11474061475347075

renamed6725_H	vowel	254.0246289610011	231.3284781426128	902.4800826347591	2275.9890338963046	67.91587592823439	65.46784738021277	0.09299779056921914

renamed6727_H	vowel	251.85217579701765	243.4619332316202	941.6840390491659	2222.4440719429003	65.28549730654879	62.35580844197584	0.0951145411617591

