soundname	intervalname	F0_Max	F0_Average	First_Formant	Second_Formant	Intensity_Max	Intensity_Average	Duration
renamed6716_J	vot	255.9749639318406	255.91741875521836	916.1169943272977	1712.5591174700348	74.38571679848079	69.9830499309629	0.1391790040104634

renamed6717_J	vowel	284.81525163945884	227.160342842971	561.4869253218071	2656.160552313217	76.97541825844908	70.54354060449958	0.15994893119712306

renamed6718_J	vowel	270.6926199152835	201.18619178006227	501.57746087454905	2842.1871170438303	77.7664823275376	71.85846988464893	0.12519903876212157

renamed6719_J	vowel	239.26754814621626	200.23574665586136	1057.8426438523127	1862.4601042293725	77.2326881476644	75.01990134782717	0.16958425989826964

renamed6720_J	vowel	262.7153658554276	206.56695301977592	1004.2632411343222	2083.4046480278903	79.86633572463416	76.2925651732364	0.10666617633419173

renamed6721_J	vot	238.6466053451607	229.0913361411022	878.2090793245667	2177.385072812635	71.38872600803505	66.13337389269076	0.0642458619414612

renamed6722_J	vot	278.2716218788161	277.03488135735995	698.3366043851604	1950.806525873273	70.86482599092945	69.5285613581866	0.004950985527444773

renamed6724_J	vowel	237.48841517468443	226.3621017732294	913.8554548091646	2312.151942576813	67.48958295423502	63.365591373841426	0.12077592317102992

renamed6725_J	vot	254.38365446466184	254.38365446466184	719.6811175043505	2080.734454977579	62.13424709573664	62.307258326824865	0.00937673854967086

renamed6727_J	vowel	251.8138099086954	243.37081154597843	925.1418405618958	2309.5164667927274	65.28549730654879	59.10197403667922	0.14610329987767323

